material_id,material_name,category_id,supplier_id,unit,price,country,price_status,normalized_name,duplicate_status,category_status
MAT0001,Sodium Carbonate B Material 0001,CAT007,SUP232,L,2098.38,Netherlands,Valid,sodium carbonate b material 0001,Unique,Valid
MAT0002,Xylene Premium Material 0002,CAT002,SUP161,BOX,1596.99,Japan,Valid,xylene premium material 0002,Unique,Valid
MAT0003,Toluene B Material 0003,CAT008,SUP035,KG,4167.27,Germany,Valid,toluene b material 0003,Unique,Valid
MAT0004,Ethylene Glycol A Material 0004,CAT006,SUP416,L,2804.04,Belgium,Valid,ethylene glycol a material 0004,Unique,Valid
MAT0005,Sodium Carbonate Industrial Material 0005,CAT002,SUP211,TON,4374.36,France,Valid,sodium carbonate industrial material 0005,Unique,Valid
MAT0006,Ethanol Industrial Material 0006,,SUP160,TON,562.82,Switzerland,Valid,ethanol industrial material 0006,Unique,Missing - Review Required
MAT0007,Sulfuric Acid B Material 0007,CAT008,SUP115,KG,1783.06,Switzerland,Valid,sulfuric acid b material 0007,Unique,Valid
MAT0008,Toluene A Material 0008,CAT005,SUP294,L,4045.75,Switzerland,Valid,toluene a material 0008,Unique,Valid
MAT0009,Formaldehyde A Material 0009,CAT010,SUP476,TON,193.32,Japan,Valid,formaldehyde a material 0009,Unique,Valid
MAT0010,Calcium Carbonate Industrial Material 0010,CAT006,SUP004,L,4355.82,Belgium,Valid,calcium carbonate industrial material 0010,Unique,Valid
MAT0011,Xylene A Material 0011,CAT003,SUP380,KG,504.2,Switzerland,Valid,xylene a material 0011,Unique,Valid
MAT0012,Sulfuric Acid Premium Material 0012,CAT007,SUP233,TON,829.18,Japan,Valid,sulfuric acid premium material 0012,Unique,Valid
MAT0013,Isopropyl Alcohol A Material 0013,CAT001,SUP080,L,3784.46,India,Valid,isopropyl alcohol a material 0013,Unique,Valid
MAT0014,Acetone Industrial Material 0014,CAT008,SUP339,BOX,2454.03,Netherlands,Valid,acetone industrial material 0014,Unique,Valid
MAT0015,Ethylene Glycol Industrial Material 0015,CAT004,SUP387,DRUM,613.4,France,Valid,ethylene glycol industrial material 0015,Unique,Valid
MAT0016,Methanol Industrial Material 0016,CAT010,SUP250,DRUM,3352.31,India,Valid,methanol industrial material 0016,Unique,Valid
MAT0017,Hydrochloric Acid Premium Material 0017,CAT010,SUP029,KG,1061.89,Singapore,Valid,hydrochloric acid premium material 0017,Unique,Valid
MAT0018,Hydrogen Peroxide Industrial Material 0018,CAT005,SUP168,KG,88.26,France,Valid,hydrogen peroxide industrial material 0018,Unique,Valid
MAT0019,Citric Acid B Material 0019,CAT007,SUP273,L,2526.3,United Kingdom,Valid,citric acid b material 0019,Unique,Valid
MAT0020,Acetone Premium Material 0020,CAT001,SUP224,KG,2325.78,Germany,Valid,acetone premium material 0020,Unique,Valid
MAT0021,Isopropyl Alcohol Premium Material 0021,CAT010,SUP208,BOX,1483.1,France,Valid,isopropyl alcohol premium material 0021,Unique,Valid
MAT0022,Sodium Hydroxide Industrial Material 0022,CAT003,SUP411,DRUM,2327.48,United Kingdom,Valid,sodium hydroxide industrial material 0022,Unique,Valid
MAT0023,Acetone Premium Material 0023,CAT002,SUP125,BOX,2964.91,Switzerland,Valid,acetone premium material 0023,Unique,Valid
MAT0024,Acetone Premium Material 0024,CAT005,SUP382,TON,1146.78,United States,Valid,acetone premium material 0024,Unique,Valid
MAT0025,Acetone A Material 0025,CAT009,SUP262,L,4534.32,United Kingdom,Valid,acetone a material 0025,Unique,Valid
MAT0026,Toluene B Material 0026,CAT004,SUP053,L,1317.04,United States,Valid,toluene b material 0026,Unique,Valid
MAT0027,Formaldehyde B Material 0027,CAT002,SUP091,BOX,2346.57,Belgium,Valid,formaldehyde b material 0027,Unique,Valid
MAT0028,Acetic Acid Premium Material 0028,CAT010,SUP330,DRUM,1649.88,United Kingdom,Valid,acetic acid premium material 0028,Unique,Valid
MAT0029,Hydrogen Peroxide Premium Material 0029,CAT002,SUP241,BOX,3175.36,Japan,Valid,hydrogen peroxide premium material 0029,Unique,Valid
MAT0030,Acetic Acid A Material 0030,CAT006,SUP260,KG,1586.52,Netherlands,Valid,acetic acid a material 0030,Unique,Valid
MAT0031,Ethanol A Material 0031,CAT006,SUP426,TON,429.82,Germany,Valid,ethanol a material 0031,Unique,Valid
MAT0032,Formaldehyde Premium Material 0032,CAT008,SUP298,DRUM,4773.45,India,Valid,formaldehyde premium material 0032,Unique,Valid
MAT0033,Propylene Glycol B Material 0033,CAT006,SUP310,BOX,2531.77,India,Valid,propylene glycol b material 0033,Unique,Valid
MAT0034,Propylene Glycol A Material 0034,CAT006,SUP366,KG,2547.52,United States,Valid,propylene glycol a material 0034,Unique,Valid
MAT0035,Ethanol B Material 0035,CAT008,SUP225,DRUM,,United States,Missing - Review Required,ethanol b material 0035,Unique,Valid
MAT0036,Toluene Industrial Material 0036,CAT005,SUP199,BOX,3883.6,Belgium,Valid,toluene industrial material 0036,Unique,Valid
MAT0037,Ethanol Industrial Material 0037,CAT002,SUP169,KG,2811.92,France,Valid,ethanol industrial material 0037,Unique,Valid
MAT0038,Calcium Carbonate Industrial Material 0038,CAT010,SUP448,L,1700.14,Belgium,Valid,calcium carbonate industrial material 0038,Unique,Valid
MAT0039,Hydrogen Peroxide Industrial Material 0039,CAT005,SUP496,BOX,688.31,Germany,Valid,hydrogen peroxide industrial material 0039,Unique,Valid
MAT0040,Calcium Carbonate Premium Material 0040,CAT006,SUP417,L,3367.08,Switzerland,Valid,calcium carbonate premium material 0040,Unique,Valid
MAT0041,Acetone Premium Material 0041,CAT009,SUP186,KG,1844.86,United States,Valid,acetone premium material 0041,Unique,Valid
MAT0042,Sulfuric Acid Industrial Material 0042,CAT008,SUP099,L,4999.88,United States,Valid,sulfuric acid industrial material 0042,Unique,Valid
MAT0043,Acetone Industrial Material 0043,CAT002,SUP260,DRUM,4183.84,Switzerland,Valid,acetone industrial material 0043,Unique,Valid
MAT0044,Ethanol Industrial Material 0044,CAT010,SUP068,DRUM,1914.76,United States,Valid,ethanol industrial material 0044,Unique,Valid
MAT0045,Citric Acid B Material 0045,CAT008,SUP023,BOX,1853.28,Singapore,Valid,citric acid b material 0045,Unique,Valid
MAT0046,Propylene Glycol Industrial Material 0046,CAT008,SUP120,DRUM,1233.88,Netherlands,Valid,propylene glycol industrial material 0046,Unique,Valid
MAT0047,Sulfuric Acid Industrial Material 0047,CAT010,SUP226,BOX,3858.72,France,Valid,sulfuric acid industrial material 0047,Unique,Valid
MAT0048,Ammonium Hydroxide Premium Material 0048,CAT003,SUP419,L,4016.23,United States,Valid,ammonium hydroxide premium material 0048,Unique,Valid
MAT0049,Sodium Chloride A Material 0049,CAT008,SUP448,TON,2794.98,Germany,Valid,sodium chloride a material 0049,Unique,Valid
MAT0050,Ammonium Hydroxide A Material 0050,CAT005,SUP043,L,1400.32,Switzerland,Valid,ammonium hydroxide a material 0050,Unique,Valid
