supplier_id,supplier_name,country,email,phone,email_status,normalized_name,duplicate_status
SUP001,Global Industrial Materials 1,India,globalindustrial.materials.1@example.com,91849351630,Valid,global industrial materials 1,Unique
SUP002,Prime Industrial Supplies 2,Singapore,primeindustrial.supplies.2@example.com,69586828460,Valid,prime industrial supplies 2,Unique
SUP003,Nova Specialty Chemicals 3,Germany,novaspecialty.chemicals.3@example.com,89064021570,Valid,nova specialty chemicals 3,Unique
SUP004,Pioneer Specialty Materials 4,Germany,pioneerspecialty.materials.4@example.com,85361460250,Valid,pioneer specialty materials 4,Unique
SUP005,Vertex Materials 5,India,vertexmaterials.5@example.com,,Valid,vertex materials 5,Unique
SUP006,Global Industrial Materials 6,Singapore,globalindustrial.materials.6@example.com,69992709360,Valid,global industrial materials 6,Unique
SUP007,Pioneer Specialty Materials 7,Belgium,pioneerspecialty.materials.7@example.com,61139711230,Valid,pioneer specialty materials 7,Unique
SUP008,Pioneer Specialty Materials 8,Singapore,pioneerspecialty.materials.8@example.com,90752808170,Valid,pioneer specialty materials 8,Unique
SUP009,Pioneer Specialty Materials 9,France,pioneerspecialty.materials.9@example.com,69467852480,Valid,pioneer specialty materials 9,Unique
SUP010,GreenCore Chemicals 10,Belgium,greencorechemicals.10@example.com,71948199840,Valid,greencore chemicals 10,Unique
SUP011,Apex Chemical Solutions 11,United States,apexchemical.solutions.11@example.com,89984858820,Valid,apex chemical solutions 11,Unique
SUP012,Vertex Materials 12,United Kingdom,vertexmaterials.12@example.com,71934483290,Valid,vertex materials 12,Unique
SUP013,Nova Specialty Chemicals 13,Singapore,novaspecialty.chemicals.13@example.com,92791823180,Valid,nova specialty chemicals 13,Potential Duplicate - Review
SUP014,Universal Chemical Products 14,Germany,universalchemical.products.14@example.com,63983403690,Valid,universal chemical products 14,Unique
SUP015,Vertex Materials 15,Germany,vertexmaterials.15@example.com,75418046860,Valid,vertex materials 15,Unique
SUP016,Universal Chemical Products 16,Belgium,invalid-email,71361084540,Invalid / Missing - Review Required,universal chemical products 16,Potential Duplicate - Review
SUP017,Apex Chemical Solutions 17,Netherlands,apexchemical.solutions.17@example.com,83030821170,Valid,apex chemical solutions 17,Potential Duplicate - Review
SUP018,Global Industrial Materials 18,France,globalindustrial.materials.18@example.com,63384442640,Valid,global industrial materials 18,Unique
SUP019,Pioneer Specialty Materials 19,Japan,pioneerspecialty.materials.19@example.com,95622659060,Valid,pioneer specialty materials 19,Unique
SUP020,Metro Chemical Industries 20,United Kingdom,metrochemical.industries.20@example.com,84797086070,Valid,metro chemical industries 20,Unique
SUP021,Zenith Chemical Industries 21,Germany,zenithchemical.industries.21@example.com,61968142330,Valid,zenith chemical industries 21,Unique
SUP022,Zenith Chemical Industries 22,Japan,zenithchemical.industries.22@example.com,63427039210,Valid,zenith chemical industries 22,Unique
SUP023,Zenith Chemical Industries 23,Germany,zenithchemical.industries.23@example.com,76326297190,Valid,zenith chemical industries 23,Unique
SUP024,Prime Industrial Supplies 24,Netherlands,primeindustrial.supplies.24@example.com,87302438870,Valid,prime industrial supplies 24,Unique
SUP025,Universal Chemical Products 25,United States,universalchemical.products.25@example.com,75899151440,Valid,universal chemical products 25,Unique
SUP026,Universal Chemical Products 26,Singapore,universalchemical.products.26@example.com,88783804520,Valid,universal chemical products 26,Unique
SUP027,Prime Industrial Supplies 27,Germany,primeindustrial.supplies.27@example.com,86161977470,Valid,prime industrial supplies 27,Unique
SUP028,Nova Specialty Chemicals 28,Switzerland,novaspecialty.chemicals.28@example.com,91315757640,Valid,nova specialty chemicals 28,Unique
SUP029,Zenith Chemical Industries 29,United States,zenithchemical.industries.29@example.com,79853924980,Valid,zenith chemical industries 29,Unique
SUP030,Vertex Materials 30,Japan,vertexmaterials.30@example.com,99745248340,Valid,vertex materials 30,Unique
SUP031,Pioneer Specialty Materials 31,Singapore,pioneerspecialty.materials.31@example.com,89403958230,Valid,pioneer specialty materials 31,Unique
SUP032,Universal Chemical Products 32,India,universalchemical.products.32@example.com,69837539770,Valid,universal chemical products 32,Unique
SUP033,Apex Chemical Solutions 33,United Kingdom,,77229896590,Invalid / Missing - Review Required,apex chemical solutions 33,Unique
SUP034,Prime Industrial Supplies 34,Germany,primeindustrial.supplies.34@example.com,69061643960,Valid,prime industrial supplies 34,Unique
SUP035,Metro Chemical Industries 35,United Kingdom,metrochemical.industries.35@example.com,69132240470,Valid,metro chemical industries 35,Unique
SUP036,GreenCore Chemicals 36,France,greencorechemicals.36@example.com,97996851970,Valid,greencore chemicals 36,Unique
SUP037,GreenCore Chemicals 37,United States,greencorechemicals.37@example.com,71376516780,Valid,greencore chemicals 37,Unique
SUP038,Nova Specialty Chemicals 38,Singapore,novaspecialty.chemicals.38@example.com,91997033210,Valid,nova specialty chemicals 38,Unique
SUP039,Pioneer Specialty Materials 39,Switzerland,pioneerspecialty.materials.39@example.com,71284666200,Valid,pioneer specialty materials 39,Unique
SUP040,Metro Chemical Industries 40,France,metrochemical.industries.40@example.com,98561199250,Valid,metro chemical industries 40,Unique
SUP041,Metro Chemical Industries 41,France,metrochemical.industries.41@example.com,75547629030,Valid,metro chemical industries 41,Unique
SUP042,Zenith Chemical Industries 42,United States,zenithchemical.industries.42@example.com,81883987600,Valid,zenith chemical industries 42,Unique
SUP043,GreenCore Chemicals 43,Germany,greencorechemicals.43@example.com,92460596580,Valid,greencore chemicals 43,Unique
