material_id,material_name,category_id,supplier_id,unit,price,country
MAT0001,Sodium Carbonate B Material 0001,CAT007,SUP232,L,2098.38,Netherlands
MAT0002,Xylene Premium Material 0002,CAT002,SUP161,BOX,1596.99,Japan
MAT0003,Toluene B Material 0003,CAT008,SUP035,KG,4167.27,Germany
MAT0004,Ethylene Glycol A Material 0004,CAT006,SUP416,Liter,2804.04,Belgium
MAT0005,Sodium Carbonate Industrial Material 0005,CAT002,SUP211,TON,4374.36,France
MAT0006,Ethanol Industrial Material 0006,,SUP160,TON,562.82,Switzerland
MAT0007,Sulfuric Acid B Material 0007,CAT008,SUP115,KG,1783.06,Switzerland
MAT0008,Toluene A Material 0008,CAT005,SUP294,L,4045.75,Switzerland
MAT0009,Formaldehyde A Material 0009,CAT010,SUP476,TON,193.32,Japan
MAT0010,Calcium Carbonate Industrial Material 0010,CAT006,SUP004,L,4355.82,Belgium
MAT0011,Xylene A Material 0011,CAT003,SUP380,KG,504.2,Switzerland
MAT0012,Sulfuric Acid Premium Material 0012,CAT007,SUP233,TON,829.18,Japan
MAT0013,Isopropyl Alcohol A Material 0013,CAT001,SUP080,L,3784.46,India
MAT0014,Acetone Industrial Material 0014,CAT008,SUP339,BOX,2454.03,Netherlands
MAT0015,Ethylene Glycol Industrial Material 0015,CAT004,SUP387,DRUM,613.4,France
MAT0016,Methanol Industrial Material 0016,CAT010,SUP250,DRUM,3352.31,India
MAT0017,Hydrochloric Acid Premium Material 0017,CAT010,SUP029,KG,1061.89,Singapore
MAT0018,Hydrogen Peroxide Industrial Material 0018,CAT005,SUP168,KG,88.26,France
MAT0019,Citric Acid B Material 0019,CAT007,SUP273,L,2526.3,United Kingdom
MAT0020,Acetone Premium Material 0020,CAT001,SUP224,KG,2325.78,Germany
MAT0021,Isopropyl Alcohol Premium Material 0021,CAT010,SUP208,BOX,1483.1,France
MAT0022,Sodium Hydroxide Industrial Material 0022,CAT003,SUP411,DRUM,2327.48,United Kingdom
MAT0023,ACETONE PREMIUM MATERIAL 0023,CAT002,SUP125,BOX,2964.91,Switzerland
MAT0024,Acetone Premium Material 0024,CAT005,SUP382,TON,1146.78,United States
MAT0025,Acetone A Material 0025,CAT009,SUP262,L,4534.32,United Kingdom
MAT0026,Toluene B Material 0026,CAT004,SUP053,L,1317.04,United States
MAT0027,Formaldehyde B Material 0027,CAT002,SUP091,BOX,2346.57,Belgium
MAT0028,Acetic Acid Premium Material 0028,CAT010,SUP330,DRUM,1649.88,United Kingdom
MAT0029,Hydrogen Peroxide Premium Material 0029,CAT002,SUP241,BOX,3175.36,Japan
MAT0030,Acetic Acid A Material 0030,CAT006,SUP260,KG,1586.52,Netherlands
MAT0031,Ethanol A Material 0031,CAT006,SUP426,TON,429.82,Germany
MAT0032,Formaldehyde Premium Material 0032,CAT008,SUP298,DRUM,4773.45,India
MAT0033,Propylene Glycol B Material 0033,CAT006,SUP310,BOX,2531.77,India
MAT0034,Propylene Glycol A Material 0034,CAT006,SUP366,KG,2547.52,United States
MAT0035,Ethanol B Material 0035,CAT008,SUP225,DRUM,,United States
MAT0036,Toluene Industrial Material 0036,CAT005,SUP199,BOX,3883.6,Belgium
MAT0037,Ethanol Industrial Material 0037,CAT002,SUP169,KG,2811.92,France
MAT0038,Calcium Carbonate Industrial Material 0038,CAT010,SUP448,L,1700.14,Belgium
MAT0039,Hydrogen Peroxide Industrial Material 0039,CAT005,SUP496,BOX,688.31,Germany
MAT0040,Calcium Carbonate Premium Material 0040,CAT006,SUP417,L,3367.08,Switzerland
MAT0041,Acetone Premium Material 0041,CAT009,SUP186,KG,1844.86,United States
MAT0042,Sulfuric Acid Industrial Material 0042,CAT008,SUP099,L,4999.88,United States
MAT0043,Acetone Industrial Material 0043,CAT002,SUP260,DRUM,4183.84,Switzerland
MAT0044,Ethanol Industrial Material 0044,CAT010,SUP068,DRUM,1914.76,United States
MAT0045,Citric Acid B Material 0045,CAT008,SUP023,Box,1853.28,Singapore
MAT0046,Propylene Glycol Industrial Material 0046,CAT008,SUP120,DRUM,1233.88,Netherlands
MAT0047,Sulfuric Acid Industrial Material 0047,CAT010,SUP226,BOX,3858.72,France
MAT0048,Ammonium Hydroxide Premium Material 0048,CAT003,SUP419,L,4016.23,United States
MAT0049,Sodium Chloride A Material 0049,CAT008,SUP448,TON,2794.98,Germany
MAT0050,Ammonium Hydroxide A Material 0050,CAT005,SUP043,L,1400.32,Switzerland
MAT0051,Hydrogen Peroxide Premium Material 0051,CAT002,SUP485,L,4092.68,United Kingdom
MAT0052,Sodium Hydroxide Premium Material 0052,CAT001,SUP203,DRUM,1901.11,France
MAT0053,Acetone Industrial Material 0053,CAT004,SUP015,TON,4657.59,United Kingdom
MAT0054,Hydrogen Peroxide B Material 0054,CAT001,SUP147,BOX,3495.56,United States
MAT0055,Glycerol Premium Material 0055,CAT010,SUP003,KG,144.07,Singapore
MAT0056,Hydrogen Peroxide Premium Material 0056,CAT002,SUP398,TON,1226.32,Germany
MAT0057,Ethanol B Material 0057,CAT007,SUP328,DRUM,2312.71,Germany
MAT0058,Glycerol A Material 0058,CAT009,SUP295,L,3606.79,Japan
MAT0059,Ethylene Glycol A Material 0059,CAT010,SUP181,L,2874.79,United States
MAT0060,Acetone Industrial Material 0060,CAT002,SUP489,DRUM,2743.21,Switzerland
MAT0061,Sodium Carbonate A Material 0061,CAT007,SUP448,BOX,265.5,France
MAT0062,Toluene Industrial Material 0062,CAT001,SUP183,KG,1756.77,Germany
MAT0063,Acetic Acid Industrial Material 0063,CAT003,SUP023,TON,2752.77,United States
MAT0064,Propylene Glycol Premium Material 0064,CAT003,SUP416,L,362.35,Netherlands
MAT0065,Ethanol Industrial Material 0065,CAT004,SUP023,L,4434.66,United Kingdom
MAT0066,Calcium Carbonate Premium Material 0066,CAT009,SUP243,TON,-856.0,Singapore
MAT0067,Calcium Carbonate Industrial Material 0067,CAT001,SUP444,TON,1402.42,United Kingdom
MAT0068,Ethylene Glycol Premium Material 0068,CAT008,SUP459,BOX,1728.23,United States
MAT0069,Glycerol Premium Material 0069,CAT006,SUP474,DRUM,1370.27,Germany
MAT0070,Ethylene Glycol A Material 0070,CAT007,SUP309,L,2750.1,United Kingdom
MAT0071,Methanol A Material 0071,CAT006,SUP339,TON,1567.15,Belgium
MAT0072,Ethylene Glycol B Material 0072,CAT008,SUP180,BOX,259.66,United Kingdom
MAT0073,Formaldehyde Premium Material 0073,CAT005,SUP328,KG,421.45,France
MAT0074,Toluene B Material 0074,CAT001,SUP074,DRUM,3406.54,Netherlands
MAT0075,Ethanol B Material 0075,CAT002,SUP121,TON,1842.65,Belgium
MAT0076,Ethanol B Material 0076,CAT008,SUP486,TON,1891.47,Germany
MAT0077,Acetic Acid B Material 0077,CAT009,SUP188,BOX,1606.21,Japan
MAT0078,Hydrochloric Acid A Material 0078,CAT001,SUP377,L,2520.27,France
MAT0079,Sodium Carbonate A Material 0079,CAT005,SUP397,Tonne,3534.99,Singapore
MAT0080,Formaldehyde Industrial Material 0080,CAT008,SUP103,KG,721.86,Germany
MAT0081,Propylene Glycol B Material 0081,CAT008,SUP045,TON,3355.81,Germany
MAT0082,Sodium Carbonate Industrial Material 0082,CAT005,SUP436,L,3573.46,United States
MAT0083,Toluene B Material 0083,CAT002,SUP103,L,1221.84,Netherlands
MAT0084,Sodium Hydroxide Industrial Material 0084,CAT009,SUP294,Tonne,2363.66,Switzerland
MAT0085,Hydrogen Peroxide A Material 0085,CAT002,SUP159,BOX,4998.0,Netherlands
MAT0086,Ammonium Hydroxide Premium Material 0086,,SUP422,DRUM,415.07,United Kingdom
MAT0087,Acetone Premium Material 0087,CAT008,SUP349,DRUM,1755.35,Switzerland
MAT0088,Acetic Acid B Material 0088,CAT003,SUP222,DRUM,4558.03,India
MAT0089,Methanol B Material 0089,CAT005,SUP085,Liter,1647.17,Singapore
MAT0090,Toluene Industrial Material 0090,CAT002,SUP129,L,3193.53,Switzerland
MAT0091,Sodium Chloride B Material 0091,CAT005,SUP315,DRUM,512.47,United States
MAT0092,Acetic Acid B Material 0092,CAT003,SUP338,DRUM,3617.13,Belgium
