purchase_id,material_id,supplier_id,purchase_date,quantity,total_amount
PO00001,MAT0842,SUP252,2026-02-02,999.15,3033119.66
PO00002,MAT1263,SUP485,2025-06-14,374.4,1695234.53
PO00003,MAT1283,SUP209,2025-01-22,437.42,1852023.16
PO00004,MAT0131,SUP465,2025-11-04,152.54,500160.36
PO00005,MAT0273,SUP393,2026-04-16,416.27,893606.81
PO00006,MAT1818,SUP387,2026-07-09,853.17,2582289.64
PO00007,MAT0476,SUP161,2026-02-16,133.77,526922.71
PO00008,MAT1121,SUP365,2025-12-28,216.02,572690.62
PO00009,MAT0068,SUP459,2026-02-20,426.93,737833.23
PO00010,MAT0403,SUP152,2026-03-04,465.98,114193.06
PO00011,MAT0587,SUP286,2026-04-09,449.45,1814586.96
PO00012,MAT1888,SUP131,2026-02-02,468.88,1896427.36
PO00013,MAT1049,SUP268,2025-12-12,332.75,1252890.27
PO00014,MAT0602,SUP372,2026-02-13,141.78,380214.26
PO00015,MAT0669,SUP112,2026-06-27,213.86,708813.31
PO00016,MAT1941,SUP303,2025-08-11,715.46,264763.13
PO00017,MAT0249,SUP324,2026-08-06,202.66,639933.4
PO00018,MAT1819,SUP248,2026-01-08,901.35,1311094.7
PO00019,MAT0593,SUP123,2026-07-16,863.81,3126102.48
PO00020,MAT0590,SUP179,2026-02-23,381.07,1400580.87
PO00021,MAT1582,SUP197,2025-11-11,221.38,59741.61
PO00022,MAT0799,SUP233,2025-05-25,475.53,935505.41
PO00023,MAT0198,SUP365,2026-07-10,655.72,2433567.08
PO00024,MAT1787,SUP126,2025-11-04,905.63,2034117.43
PO00025,MAT0017,SUP029,2026-02-27,60.38,64116.92
PO00026,MAT0620,SUP222,2025-08-11,344.31,1357449.06
PO00027,MAT1695,SUP041,2025-06-10,663.05,2797308.49
PO00028,MAT1635,SUP260,2026-06-14,437.47,619776.87
PO00029,MAT1284,SUP085,2026-03-30,33.6,11228.78
PO00030,MAT1418,SUP091,2025-07-31,392.11,1174255.74
PO00031,MAT1036,SUP074,2025-06-26,280.59,190593.56
PO00032,MAT1380,SUP292,2026-07-31,771.55,209961.9
PO00033,MAT1419,SUP433,2026-02-16,579.32,1847353.0
PO00034,MAT1819,SUP248,2025-07-22,159.18,231541.64
PO00035,MAT0833,SUP106,2025-11-21,473.89,1682461.14
PO00036,MAT0210,SUP377,2025-05-14,764.99,3702880.55
PO00037,MAT1506,SUP063,2026-05-14,323.05,1287968.05
PO00038,MAT0941,SUP094,2026-06-28,737.96,3238264.41
PO00039,MAT1481,SUP237,2025-02-06,679.43,2539627.81
PO00040,MAT1312,SUP219,2025-03-08,94.89,147671.61
PO00041,MAT1683,SUP360,2025-01-09,920.97,954465.68
PO00042,MAT0098,SUP390,2025-02-24,338.19,879006.54
PO00043,MAT0515,SUP315,2025-04-03,320.16,270743.3
PO00044,MAT0541,SUP138,2026-01-01,210.98,1011587.92
PO00045,MAT0509,SUP268,2025-06-04,958.38,2513658.23
PO00046,MAT1133,SUP485,2025-11-11,842.27,3468644.74
PO00047,MAT0730,SUP441,2026-01-07,627.0,2804715.21
PO00048,MAT0031,SUP426,2025-11-20,587.61,252566.53
PO00049,MAT1837,SUP052,2026-04-03,480.34,1544850.29
PO00050,MAT0734,SUP291,2025-06-29,296.84,1050567.22
PO00051,MAT0372,SUP155,2025-04-14,804.31,3322073.77
PO00052,MAT0571,SUP057,2025-06-13,901.81,2802609.05
PO00053,MAT0718,SUP050,2025-06-05,171.62,158243.94
PO00054,MAT0709,SUP351,2025-05-02,536.98,1277582.82
PO00055,MAT1678,SUP152,2026-02-24,166.7,367676.85
