supplier_id,supplier_name,country,email,phone
SUP001,Global Industrial Materials 1,India,globalindustrial.materials.1@example.com,9184935163.0
SUP002,Prime Industrial Supplies 2,Singapore,primeindustrial.supplies.2@example.com,6958682846.0
SUP003,Nova Specialty Chemicals 3,Germany,novaspecialty.chemicals.3@example.com,8906402157.0
SUP004,Pioneer Specialty Materials 4,Germany,pioneerspecialty.materials.4@example.com,8536146025.0
SUP005,Vertex Materials 5,India,vertexmaterials.5@example.com,
SUP006,Global Industrial Materials 6,Singapore,globalindustrial.materials.6@example.com,6999270936.0
SUP007,Pioneer Specialty Materials 7,Belgium,pioneerspecialty.materials.7@example.com,6113971123.0
SUP008,Pioneer Specialty Materials 8,Singapore,pioneerspecialty.materials.8@example.com,9075280817.0
SUP009,Pioneer Specialty Materials 9,France,pioneerspecialty.materials.9@example.com,6946785248.0
SUP010,GreenCore Chemicals 10,Belgium,greencorechemicals.10@example.com,7194819984.0
SUP011,Apex Chemical Solutions 11,United States,apexchemical.solutions.11@example.com,8998485882.0
SUP012,Vertex Materials 12,United Kingdom,vertexmaterials.12@example.com,7193448329.0
SUP013,Nova Specialty Chemicals 13,singapore,novaspecialty.chemicals.13@example.com,9279182318.0
SUP014,Universal Chemical Products 14,Germany,universalchemical.products.14@example.com,6398340369.0
SUP015,Vertex Materials 15,Germany,vertexmaterials.15@example.com,7541804686.0
SUP016,Universal Chemical Products 16,Belgium,invalid-email,7136108454.0
SUP017,Apex Chemical Solutions 17,Netherlands,apexchemical.solutions.17@example.com,8303082117.0
SUP018,Global Industrial Materials 18,France,globalindustrial.materials.18@example.com,6338444264.0
SUP019,Pioneer Specialty Materials 19,Japan,pioneerspecialty.materials.19@example.com,9562265906.0
SUP020,Metro Chemical Industries 20,United Kingdom,metrochemical.industries.20@example.com,8479708607.0
SUP021,Zenith Chemical Industries 21,Germany,zenithchemical.industries.21@example.com,6196814233.0
SUP022,Zenith Chemical Industries 22,Japan,zenithchemical.industries.22@example.com,6342703921.0
